18:30:32 INF [API] listening addr=127.0.0.1:34103
18:30:32 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
18:30:32 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:60008 rAddr=api.github.com:443 proxy=DIRECT
18:30:32 INF [Config] initial compatible provider name=🔰 选择节点
18:30:32 INF [Config] initial compatible provider name=🐟 漏网之鱼
18:30:32 INF [Config] initial compatible provider name=📺 动画疯
18:30:32 INF [Config] initial compatible provider name=☁️ Cloudflare
18:30:32 INF [Config] initial compatible provider name=🎮 Steam 客户端地区
18:30:32 INF [Config] initial compatible provider name=🌏 爱奇艺&哔哩哔哩
18:30:32 INF [Config] initial compatible provider name=🇨🇳 国内网站
18:30:32 INF [Config] initial compatible provider name=🛑 拦截广告
18:32:33 INF [TCP] connected lAddr=127.0.0.1:48158 rAddr=raw.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:33 INF [TCP] connected lAddr=127.0.0.1:48188 rAddr=www.google-analytics.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:33 INF [TCP] connected lAddr=127.0.0.1:48190 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:35 INF [TCP] connected lAddr=127.0.0.1:50532 rAddr=clients4.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:38 INF [TCP] connected lAddr=127.0.0.1:50538 rAddr=webapp.chatgpt4google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:42 INF [TCP] connected lAddr=127.0.0.1:50562 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:42 INF [TCP] connected lAddr=127.0.0.1:50546 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:42 INF [TCP] connected lAddr=127.0.0.1:50578 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:48 INF [TCP] connected lAddr=127.0.0.1:35924 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:57 INF [TCP] connected lAddr=127.0.0.1:46486 rAddr=api.github.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:03 INF [TCP] connected lAddr=127.0.0.1:46492 rAddr=play.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:12 INF [TCP] connected lAddr=127.0.0.1:40138 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:12 INF [TCP] connected lAddr=127.0.0.1:40142 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:18 INF [TCP] connected lAddr=127.0.0.1:53064 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:18 INF [TCP] connected lAddr=127.0.0.1:53066 rAddr=copilot-proxy.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:21 INF [TCP] connected lAddr=127.0.0.1:53080 rAddr=translate.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:21 INF [TCP] connected lAddr=127.0.0.1:53068 rAddr=api-edge.cognitive.microsofttranslator.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:33:21 INF [TCP] connected lAddr=127.0.0.1:53092 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:22 INF [TCP] connected lAddr=127.0.0.1:53104 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:23 INF [TCP] connected lAddr=127.0.0.1:53110 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:23 INF [TCP] connected lAddr=127.0.0.1:53126 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:29 INF [TCP] connected lAddr=127.0.0.1:36256 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:32 INF [TCP] connected lAddr=127.0.0.1:36270 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:33 INF [TCP] connected lAddr=127.0.0.1:36282 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:33:48 INF [TCP] connected lAddr=127.0.0.1:41368 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:34:18 INF [TCP] connected lAddr=127.0.0.1:52106 rAddr=aur.archlinux.org:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:34:20 INF [TCP] connected lAddr=127.0.0.1:52118 rAddr=aur.archlinux.org:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:34:22 INF [TCP] connected lAddr=127.0.0.1:52122 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:35:07 INF [TCP] connected lAddr=127.0.0.1:46962 rAddr=download.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:35:08 INF [TCP] connected lAddr=127.0.0.1:46964 rAddr=download-cdn.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:35:12 INF [TCP] connected lAddr=127.0.0.1:46978 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:35:40 INF [TCP] connected lAddr=127.0.0.1:38122 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:35:40 INF [TCP] connected lAddr=127.0.0.1:38132 rAddr=edge.microsoft.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:35:42 INF [TCP] connected lAddr=127.0.0.1:38142 rAddr=api-edge.cognitive.microsofttranslator.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:36:50 INF [TCP] connected lAddr=127.0.0.1:53032 rAddr=api.github.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:37:03 INF [TCP] connected lAddr=127.0.0.1:44162 rAddr=copilot-telemetry.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:37:27 INF [TCP] connected lAddr=127.0.0.1:52366 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:37:27 INF [TCP] connected lAddr=127.0.0.1:52378 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:37:46 INF [TCP] connected lAddr=127.0.0.1:56640 rAddr=mtalk.google.com:5228 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:38:02 INF [TCP] connected lAddr=127.0.0.1:51776 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:38:32 INF [TCP] connected lAddr=127.0.0.1:34152 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:39:07 INF [TCP] connected lAddr=127.0.0.1:42282 rAddr=aur.archlinux.org:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:39:49 INF [TCP] connected lAddr=127.0.0.1:43138 rAddr=aur.archlinux.org:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:40:57 INF [TCP] connected lAddr=127.0.0.1:36644 rAddr=api.github.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
