14:18:32 INF [TCP] connected lAddr=127.0.0.1:59328 rAddr=webapp.chatgpt4google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:35 INF [TCP] connected lAddr=127.0.0.1:59416 rAddr=youtrack.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:18:36 INF [TCP] connected lAddr=127.0.0.1:59432 rAddr=optimizationguide-pa.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:36 INF [TCP] connected lAddr=127.0.0.1:59442 rAddr=youtrack.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:18:39 INF [TCP] connected lAddr=127.0.0.1:59454 rAddr=translate.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:39 INF [TCP] connected lAddr=127.0.0.1:59450 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:18:41 INF [TCP] connected lAddr=127.0.0.1:59466 rAddr=youtrack.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:18:41 INF [TCP] connected lAddr=127.0.0.1:59482 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:18:42 INF [TCP] connected lAddr=127.0.0.1:59490 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:18:45 INF [TCP] connected lAddr=127.0.0.1:54002 rAddr=www.google-analytics.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:48 INF [TCP] connected lAddr=127.0.0.1:54044 rAddr=lh3.googleusercontent.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:48 INF [TCP] connected lAddr=127.0.0.1:54018 rAddr=www.gravatar.com:443 mode=rule rule=DomainSuffix(gravatar.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:48 INF [TCP] connected lAddr=127.0.0.1:54030 rAddr=www.gravatar.com:443 mode=rule rule=DomainSuffix(gravatar.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:50 INF [TCP] connected lAddr=127.0.0.1:54060 rAddr=avatars.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:18:50 INF [TCP] connected lAddr=127.0.0.1:54046 rAddr=avatars.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:03 INF [TCP] connected lAddr=127.0.0.1:38836 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:04 INF [TCP] connected lAddr=127.0.0.1:38848 rAddr=accounts.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:04 INF [TCP] connected lAddr=127.0.0.1:38858 rAddr=beacons.gcp.gvt2.com:443 mode=rule rule=DomainSuffix(gvt2.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:12 INF [TCP] connected lAddr=127.0.0.1:38868 rAddr=google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:16 INF [TCP] connected lAddr=127.0.0.1:59786 rAddr=content-autofill.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:24 INF [TCP] connected lAddr=127.0.0.1:39904 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:24 INF [TCP] connected lAddr=127.0.0.1:39914 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:25 INF [TCP] connected lAddr=127.0.0.1:39918 rAddr=oauth.account.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:26 INF [TCP] connected lAddr=127.0.0.1:39932 rAddr=account.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:28 INF [TCP] connected lAddr=127.0.0.1:39934 rAddr=static.zdassets.com:443 mode=rule rule=IPCIDR(104.16.0.0/13) proxy=☁️ Cloudflare[🇺🇲 美国A01]
14:19:28 INF [TCP] connected lAddr=127.0.0.1:39938 rAddr=www.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:28 INF [TCP] connected lAddr=127.0.0.1:39948 rAddr=ekr.zdassets.com:443 mode=rule rule=IPCIDR(104.16.0.0/13) proxy=☁️ Cloudflare[🇺🇲 美国A01]
14:19:29 INF [TCP] connected lAddr=127.0.0.1:39960 rAddr=www.googletagmanager.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:29 INF [TCP] connected lAddr=127.0.0.1:39978 rAddr=resources.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:29 INF [TCP] connected lAddr=127.0.0.1:39970 rAddr=resources.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇺🇲 美国A01]
14:19:30 INF [TCP] connected lAddr=127.0.0.1:39986 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
14:19:30 INF [TCP] connected lAddr=127.0.0.1:39992 rAddr=googleads.g.doubleclick.net:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
